[2022-02-09 18:06:14][INFO] Alpha VS Rate program start!
[2022-02-09 18:08:43][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 54                           
[2022-02-09 18:08:45][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 68                           
[2022-02-09 18:08:46][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 62                           
[2022-02-09 18:08:47][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 58                           
[2022-02-09 18:08:48][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 59                           
[2022-02-09 18:08:49][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 55                           
[2022-02-09 18:08:50][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 62                           
[2022-02-09 18:08:51][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 61                           
[2022-02-09 18:08:52][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 63                           
[2022-02-09 18:08:53][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 60                           
[2022-02-09 18:08:55][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 168                           
[2022-02-09 18:08:56][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 60                           
[2022-02-09 18:08:58][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 77                           
[2022-02-09 18:08:59][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 55                           
[2022-02-09 18:09:00][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 70                           
[2022-02-09 18:09:01][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 71                           
[2022-02-09 18:09:02][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 71                           
[2022-02-09 18:09:03][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 61                           
[2022-02-09 18:09:05][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 76                           
[2022-02-09 18:09:06][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 67                           
[2022-02-09 18:09:07][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 60                           
